生效日,触发日,类型,原因
2024-03-04,2024-03-01,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 -3.150% → -1.841%
2024-03-05,2024-03-04,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.656% → +3.958%
2024-03-06,2024-03-05,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 -2.458% → -3.532%
2024-03-08,2024-03-07,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.669% → -1.137%
2024-03-12,2024-03-11,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 -4.000% → -2.780%；美元指数：回到区间内，±1%边界；MA20偏离 -1.146% → -0.922%
2024-03-14,2024-03-13,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.793% → +4.704%
2024-03-18,2024-03-15,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.467% → +2.875%
2024-03-21,2024-03-20,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.697% → +2.887%
2024-04-01,2024-03-29,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.894% → +1.290%；黄金：进入外侧，±3%边界；MA20偏离 +2.569% → +3.095%
2024-04-02,2024-04-01,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.095% → +2.814%
2024-04-03,2024-04-02,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.232% → +0.990%；黄金：进入外侧，±3%边界；MA20偏离 +2.814% → +3.636%
2024-04-04,2024-04-03,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +2.262% → +5.481%；铜：进入外侧，±3%边界；MA20偏离 +1.794% → +4.394%
2024-04-11,2024-04-10,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.911% → +3.953%；美国10年期利率：进入外侧，±5%边界；MA20偏离 +1.195% → +5.288%
2024-04-15,2024-04-12,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +3.504% → +4.953%；美元指数：进入外侧，±1%边界；MA20偏离 +0.884% → +1.493%；美国10年期利率：回到区间内，±5%边界；MA20偏离 +5.215% → +3.639%
2024-04-16,2024-04-15,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.953% → +2.183%；美国10年期利率：进入外侧，±5%边界；MA20偏离 +3.639% → +6.229%
2024-04-18,2024-04-17,阈值穿越,美国10年期利率：回到区间内，±5%边界；MA20偏离 +6.658% → +4.449%
2024-04-19,2024-04-18,阈值穿越,美国10年期利率：进入外侧，±5%边界；MA20偏离 +4.449% → +5.084%
2024-04-22,2024-04-19,阈值穿越,美国10年期利率：回到区间内，±5%边界；MA20偏离 +5.084% → +4.195%
2024-04-23,2024-04-22,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.074% → +0.921%；黄金：回到区间内，±3%边界；MA20偏离 +3.755% → +0.551%
2024-04-30,2024-04-29,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 +2.042% → +3.141%
2024-05-01,2024-04-30,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 +3.141% → +0.920%
2024-05-02,2024-05-01,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -1.984% → -6.703%；铜：回到区间内，±3%边界；MA20偏离 +3.239% → +2.481%
2024-05-07,2024-05-06,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.193% → +3.124%
2024-05-08,2024-05-07,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.124% → +2.549%
2024-05-11,2024-05-10,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.221% → -3.670%
2024-05-13,2024-05-11,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.839% → +4.608%
2024-05-15,2024-05-14,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.103% → -5.237%
2024-05-16,2024-05-15,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.502% → -1.043%
2024-05-17,2024-05-16,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -5.992% → -3.709%；美元指数：回到区间内，±1%边界；MA20偏离 -1.043% → -0.862%
2024-05-20,2024-05-17,阈值穿越,铜：进入外侧，±8%边界；MA20偏离 +5.141% → +8.171%；黄金：进入外侧，±3%边界；MA20偏离 +1.910% → +3.102%
2024-05-23,2024-05-22,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.071% → -4.071%；铜：回到区间内，±3%边界；MA20偏离 +8.009% → +2.259%；铜：回到区间内，±8%边界；MA20偏离 +8.009% → +2.259%；黄金：回到区间内，±3%边界；MA20偏离 +3.065% → +1.564%
2024-05-27,2024-05-26,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.171% → -0.818%
2024-05-31,2024-05-30,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -0.296% → -3.078%
2024-06-04,2024-06-03,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -2.438% → -5.727%
2024-06-07,2024-06-06,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -6.088% → -3.000%；铜：回到区间内，±3%边界；MA20偏离 -4.594% → -2.819%
2024-06-10,2024-06-07,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.819% → -6.494%
2024-06-19,2024-06-18,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +3.516% → +6.128%
2024-06-20,2024-06-19,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.728% → -2.223%
2024-06-24,2024-06-21,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.569% → -3.268%
2024-06-25,2024-06-24,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.268% → -2.878%
2024-06-26,2024-06-25,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.878% → -3.666%
2024-07-01,2024-06-28,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.253% → -2.065%
2024-07-08,2024-07-05,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.314% → +4.150%
2024-07-09,2024-07-08,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.178% → +1.951%
2024-07-10,2024-07-09,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.298% → +2.296%
2024-07-12,2024-07-11,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +1.438% → +3.016%
2024-07-15,2024-07-12,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.931% → -1.194%；黄金：回到区间内，±3%边界；MA20偏离 +3.016% → +2.792%
2024-07-17,2024-07-16,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 -1.046% → -0.924%；黄金：进入外侧，±3%边界；MA20偏离 +2.929% → +4.314%
2024-07-18,2024-07-17,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.924% → -1.331%
2024-07-19,2024-07-18,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.720% → -4.338%；美元指数：回到区间内，±1%边界；MA20偏离 -1.331% → -0.865%
2024-07-22,2024-07-19,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.429% → +0.886%
2024-07-24,2024-07-23,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.794% → -4.972%
2024-07-25,2024-07-24,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.972% → -3.882%
2024-07-26,2024-07-25,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.882% → -4.135%
2024-07-30,2024-07-29,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 -2.561% → -4.009%
2024-08-01,2024-07-31,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -6.878% → -3.988%
2024-08-02,2024-08-01,阈值穿越,美国10年期利率：进入外侧，±5%边界；MA20偏离 -3.172% → -5.214%
2024-08-05,2024-08-02,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.616% → -6.623%；美元指数：进入外侧，±1%边界；MA20偏离 -0.021% → -1.100%
2024-08-07,2024-08-06,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 -3.597% → -2.813%
2024-08-08,2024-08-07,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 -1.118% → -0.809%；美国10年期利率：回到区间内，±5%边界；MA20偏离 -5.808% → -3.988%
2024-08-09,2024-08-08,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -5.160% → -1.789%
2024-08-13,2024-08-12,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.774% → -1.484%
2024-08-14,2024-08-13,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.713% → -1.190%；美国10年期利率：进入外侧，±5%边界；MA20偏离 -4.540% → -5.394%
2024-08-16,2024-08-15,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 -1.124% → -0.672%；美国10年期利率：回到区间内，±5%边界；MA20偏离 -5.502% → -2.946%
2024-08-19,2024-08-16,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.672% → -1.081%；黄金：进入外侧，±3%边界；MA20偏离 +1.653% → +3.318%
2024-08-22,2024-08-21,阈值穿越,美元指数：进入外侧，±2%边界；MA20偏离 -1.808% → -2.037%
2024-08-23,2024-08-22,阈值穿越,美元指数：回到区间内，±2%边界；MA20偏离 -2.037% → -1.445%；黄金：回到区间内，±3%边界；MA20偏离 +3.059% → +1.582%
2024-08-26,2024-08-23,阈值穿越,美元指数：进入外侧，±2%边界；MA20偏离 -1.445% → -2.040%
2024-08-27,2024-08-26,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.757% → +3.154%；美元指数：回到区间内，±2%边界；MA20偏离 -2.040% → -1.737%
2024-08-29,2024-08-28,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.501% → +1.453%
2024-08-30,2024-08-29,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 -1.165% → -0.772%
2024-09-04,2024-09-03,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.375% → -4.957%
2024-09-11,2024-09-10,阈值穿越,布伦特原油：进入外侧，±10%边界；MA20偏离 -8.153% → -10.056%
2024-09-12,2024-09-11,阈值穿越,布伦特原油：回到区间内，±10%边界；MA20偏离 -10.056% → -9.353%
2024-09-14,2024-09-13,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 -2.289% → -3.318%
2024-09-16,2024-09-14,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.071% → -3.399%
2024-09-20,2024-09-19,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.371% → +3.415%
2024-09-23,2024-09-20,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 -3.230% → -2.982%；黄金：进入外侧，±3%边界；MA20偏离 +2.426% → +3.476%
2024-09-26,2024-09-25,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 +3.828% → +5.103%
2024-09-27,2024-09-26,阈值穿越,A500指数：进入外侧，±8%边界；MA20偏离 +5.103% → +9.104%；铜：进入外侧，±8%边界；MA20偏离 +5.816% → +8.857%
2024-09-29,2024-09-27,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 -0.296% → +4.086%；黄金：回到区间内，±3%边界；MA20偏离 +4.223% → +2.914%
2024-09-30,2024-09-29,阈值穿越,铜：回到区间内，±8%边界；MA20偏离 +8.079% → +6.384%
2024-10-01,2024-09-30,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 +7.732% → +2.830%
2024-10-02,2024-10-01,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 +2.830% → +4.642%
2024-10-04,2024-10-03,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +1.534% → +4.840%
2024-10-07,2024-10-04,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.993% → +1.473%；美国10年期利率：进入外侧，±5%边界；MA20偏离 +3.314% → +6.332%
2024-10-09,2024-10-08,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +8.973% → +3.937%；铜：回到区间内，±3%边界；MA20偏离 +3.158% → +0.350%
2024-10-10,2024-10-09,阈值穿越,A500指数：回到区间内，±8%边界；MA20偏离 +17.134% → +7.680%；中国10年期利率：回到区间内，±3%边界；MA20偏离 +3.702% → +2.656%
2024-10-11,2024-10-10,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +2.205% → +4.993%
2024-10-12,2024-10-11,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 +7.164% → +2.857%
2024-10-14,2024-10-12,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +5.636% → +3.001%；美国10年期利率：回到区间内，±5%边界；MA20偏离 +6.098% → +4.283%
2024-10-16,2024-10-15,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.778% → -3.323%
2024-10-17,2024-10-16,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.323% → -2.710%
2024-10-18,2024-10-17,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.710% → -3.662%
2024-10-21,2024-10-18,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -2.304% → -4.273%；铜：回到区间内，±3%边界；MA20偏离 -3.662% → -2.253%
2024-10-22,2024-10-21,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.273% → -3.428%；美国10年期利率：进入外侧，±5%边界；MA20偏离 +3.435% → +5.688%
2024-10-23,2024-10-22,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.915% → +3.567%
2024-10-24,2024-10-23,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.567% → +2.307%
2024-10-25,2024-10-24,阈值穿越,美国10年期利率：回到区间内，±5%边界；MA20偏离 +5.749% → +4.479%
2024-10-29,2024-10-28,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -1.060% → -5.755%；美元指数：回到区间内，±1%边界；MA20偏离 +1.081% → +0.986%
2024-10-30,2024-10-29,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.739% → +3.397%
2024-10-31,2024-10-30,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -6.547% → -3.483%
2024-11-01,2024-10-31,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.812% → +1.710%
2024-11-04,2024-11-01,阈值穿越,美国10年期利率：进入外侧，±5%边界；MA20偏离 +3.382% → +5.124%
2024-11-05,2024-11-04,阈值穿越,美国10年期利率：回到区间内，±5%边界；MA20偏离 +5.124% → +3.345%
2024-11-07,2024-11-06,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.349% → +1.157%；美国10年期利率：进入外侧，±5%边界；MA20偏离 +1.902% → +5.313%
2024-11-08,2024-11-07,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 +3.552% → +5.672%；美元指数：回到区间内，±1%边界；MA20偏离 +1.157% → +0.521%；美国10年期利率：回到区间内，±5%边界；MA20偏离 +5.313% → +2.412%
2024-11-11,2024-11-08,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 +5.672% → +4.688%
2024-11-12,2024-11-11,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 +4.688% → +5.484%；美元指数：进入外侧，±1%边界；MA20偏离 +0.910% → +1.320%；黄金：进入外侧，±3%边界；MA20偏离 -1.108% → -3.850%
2024-11-13,2024-11-12,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 +5.484% → +3.969%；铜：进入外侧，±3%边界；MA20偏离 -2.694% → -4.534%
2024-11-19,2024-11-18,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 -4.780% → -2.911%
2024-11-21,2024-11-20,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.169% → -2.717%
2024-11-22,2024-11-21,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.717% → -3.082%
2024-11-26,2024-11-25,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.622% → -2.889%
2024-11-27,2024-11-26,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.889% → -3.661%
2024-11-28,2024-11-27,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.661% → -2.388%；美元指数：回到区间内，±1%边界；MA20偏离 +1.286% → +0.307%
2024-12-02,2024-11-29,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 -2.955% → -3.145%
2024-12-12,2024-12-11,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.308% → +3.381%
2024-12-13,2024-12-12,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.381% → +1.402%
2024-12-19,2024-12-18,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.413% → +1.353%；美国10年期利率：进入外侧，±5%边界；MA20偏离 +2.864% → +5.091%
2024-12-23,2024-12-20,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.641% → +0.894%
2024-12-24,2024-12-23,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.894% → +1.230%
2024-12-30,2024-12-27,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.045% → +0.817%
2024-12-31,2024-12-30,阈值穿越,美国10年期利率：回到区间内，±5%边界；MA20偏离 +5.395% → +3.374%
